variable_name,varid,type,dimension,long_name,standard_name,conventions,units,_FillValue,valid_min,valid_max,axis,ancillary_variable,accuracy,precision,resolution,cell_methods,DM_indicator,reference_scale,coordinate_reference,coordinate_reference_frame,sdn_parameter_urn,sdn_uom_urn,comment  ,Example
DERIVATION_DATE,derivation_date,char,"N_DERIVATION, DATE_TIME",Date (UTC) of derivation or calibration,,YYYYMMDDHHMISS,,,,,,,,,,,,,,,,,Date of the derivation or calibration. Format : YYYYMMDDHHMISS ,20011230090500 : December 30th 2001 09:05:00 AM 
,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_TECH,parameter_tech,char,"N_PARAM_TECH, STRING64",Name of technical parameter reported by the tag,,POPSTAR reference table 3b,,,,,,,,,,,,,,,,,Names of the technical parameters measured by the tag. The technical parameter names are listed in reference table 3b. ,
PARAMETER_TECH_UNITS,parameter_tech_units,char,"N_PARAM_TECH, STRING32",Units of accuracy and resolution of the technical parameter,,,,,,,,,,,,,,,,,,,Units of accuracy and resolution of the technical parameter.,
PARAMETER_TECH_ACCURACY,parameter_tech_accuracy,char,"N_PARAM_TECH, STRING32",Accuracy of the technical parameter,,,,,,,,,,,,,,,,,,,Accuracy of the technical parameter.,
PARAMETER_TECH_RESOLUTION,parameter_tech_resolution,char,"N_PARAM_TECH, STRING32",Resolution of the technical parameter,,,,,,,,,,,,,,,,,,,Resolution of the technical parameter measured by the tag (note that this is not necessarily equivalent to the resolution of the technical parameter returned by the tag through telemetry).,
,,,,,,,,,,,,,,,,,,,,,,,,
HISTORY_INSTITUTION,history_institution,char,"N_HISTORY, STRING2",Institution which performed action,,POPSTAR reference table 4,,,,,,,,,,,,,,,,,Institution that performed the action. Institution codes are described in reference table 4. ,IF for IFREMER
HISTORY_STEP,history_step,char,"N_HISTORY, STRING4",Step in data processing,,POPSTAR reference table 12,,,,,,,,,,,,,,,,,Code of the step in data processing for this history record. The step codes are described in reference table 12.,PSGQ : Automatic QC of data reported in real-time has been performed
HISTORY_SOFTWARE,history_software,char,"N_HISTORY, STRING8",Name of software which performed action,,Institution dependent,,,,,,,,,,,,,,,,,Name of the software that performed the action.This code is institution dependent. ,
HISTORY_SOFTWARE_RELEASE,history_software_release,char,"N_HISTORY, STRING4",Version/release of software which performed action,,Institution dependent,,,,,,,,,,,,,,,,,Version of the software. This name is institution dependent. ,
HISTORY_REFERENCE,history_reference,char,"N_HISTORY, STRING64",Reference of database,,Institution dependent,,,,,,,,,,,,,,,,,Code of the reference database used for quality control in conjunction with the software. This code is institution dependent. ,
HISTORY_DATE,history_date,char,"N_HISTORY, DATE_TIME",Date the history record was created,,YYYYMMDDHHMISS,,,,,,,,,,,,,,,,,Date of the action.,20011217160057
HISTORY_ACTION,history_action,char,"N_HISTORY, STRING64",Action performed on data,,POPSTAR reference table 7,,,,,,,,,,,,,,,,,Name of the action. The action codes are described in reference table 7. ,QCF$ for QC failed
HISTORY_PARAMETER,history_parameter,char,"N_HISTORY, STRING16",Parameter action is performed on,,POPSTAR reference table 3a,,,,,,,,,,,,,,,,,Name of the parameter on which the action is performed. The parameter names are listed in reference table 3a. ,
HISTORY_PREVIOUS_VALUE,history_previous_value,jfloat,N_HISTORY,Parameter/Flag previous value before action,,,,99999.f,,,,,,,,,,,,,,,Parameter or flag of the previous value before action.,2 (probably good) for a flag that was changed to 1 (good)
HISTORY_START_TIME_INDEX,history_start_time_index,integer,N_HISTORY,Start time index action applied on,,,,99999,,,,,,,,,,,,,,,Start time index the action is applied to.,100
HISTORY_STOP_TIME_INDEX,history_stop_time_index,integer,N_HISTORY,Stop time index action applied on,,,,99999,,,,,,,,,,,,,,,Stop time index the action is applied to.,150
HISTORY_QCTEST,history_qctest,char,"N_HISTORY,  STRING16","Documentation of tests performed, tests failed (in hex form)",,Write tests performed when ACTION=QCP$, tests failed when ACTION=QCF$,,,,,,,,,,,,,,,,,"This field records the tests performed when ACTION is set to QCP$ (qc performed), the test failed when ACTION is set to QCF$ (qc failed). The QCTEST codes are describe in reference table 11. "
